Date,NameOfThePowerStation,Fuel,Producer,InstalledCapacityUnitNoXCapacity,InstalledCapacityMw,PresentCapacityMw,YesterdayDayPeakMw,YesterdayEvPeakMw,TodayDayPeakMw,TodayEvPeakMw,EvShortageForFuelMw,EvShortageForPlantProblemMw,Remark,ProbableStartUpDate
01/09/2021 ,Daudkandi 200 MW PP (B.Trac),HSD,IPP,154*1.4,200,200,0,0,0,200,,,,
01/09/2021 ,Feni Lanka Power,HFO,IPP,7*18.415+1*9.78,114,114,0,0,114,114,,,,
01/09/2021 ,Chowmuhani 113 MW,HFO,IPP,12*9.78+2*3.1,113,113,0,26,113,113,,,,
01/09/2021 ,RPCL 210MW CCPP,Gas,IPP,4*35+1*70,210,202,137,161,150,150,52,,Gas shortage,
01/09/2021 ,Tangail  22 MW PP (Doreen),Gas,"SIPP, PDB",8*2.90,22,22,20,22,22,22,,,,
01/09/2021 ,Jamalpur 95 MW PP(Powerpac),HFO,IPP,12*8.924,95,95,0,40,95,95,,,,
01/09/2021 ,Sarishabari 3 MW Solar Plant,Solar,IPP,1*3,3,3,2,0,1.6,0,,,,
01/09/2021 , Mymensingh 200 MW PP (United),HFO,IPP,200,200,200,100,182,200,200,,,,
01/09/2021 ,Jamalpur 115 MW PP (United),HFO,IPP,115 MW,115,115,0,0,115,115,,,,
01/09/2021 ,Sutiakhali 50 MW Solar PP,Solar,IPP,50,50,50,41,0,50,0,,,,
01/09/2021 ,Tangail Palli Power Gen 22 MW,HFO,IPP,4*6.7,22,22,0,24,22,22,,,,
01/09/2021 ,Fenchugonj CCPP Phase-1,Gas,PDB,2*32+1*33,97,70,0,0,45,45,,,,
01/09/2021 ,Fenchugonj CCPP Phase-2,Gas,PDB,2*35+1*35,104,90,0,0,20,20,,,,
01/09/2021 ,Kushiara 163 MW CCPP (KP),Gas,IPP,1*109+1*54,163,163,0,0,0,0,,,Line S/D,
01/09/2021 ,Shajibazar 330 MW CCPP,Gas,PDB,3*110,330,330,0,0,0,0,330,,Under maint,
01/09/2021 ,Fenchugonj 51 MW PP  (Barakatullah) ,Gas,RPP ,19*2.90,51,51,0,53,51,51,,,,
01/09/2021 ,Fenchuganj  44MW (Energyprima),Gas,RPP,12*3.3+5*2,44,44,0,44,44,44,,,,
01/09/2021 ,Hobiganj  11MW PP Cofidence-E,Gas,"SIPP, REB",4*2.90,11,11,5,11,11,11,,,,
01/09/2021 ,Shahjibazar GTPP Unit- 8 & 9 ,Gas,PDB,2*35,70,66,62,40,68,68,,,,
01/09/2021 ,Shahjibazar 86MW PP (Shahjibazar),Gas,RPP ,32*2.90,86,86,72,75,70,70,,16,Engine problem,
01/09/2021 ,Shahjibazar 100 MW GTPP,Gas,PDB,1*100,0,0,0,100,100,100,,,,
01/09/2021 ,Sylhet 225 MW CCPP,Gas,PDB,1*142+1*89,231,231,170,164,200,200,,,,
01/09/2021 ,Sylhet  20 MW GTPP,Gas,PDB,1*20,20,20,18,18,20,20,,,,
01/09/2021 ,Sylhet  50MW PP (EPL),Gas,RPP ,27*2,50,50,0,0,0,0,,,Contract Expired,
01/09/2021 ,Shahjahanulla 25 MW PP,Gas,"SIPP, REB",3*9.34,25,25,16,8,16,16,,9,Engine problem,
01/09/2021 ,Bibiana-II 341 MW CCPP (Summit),Gas,IPP,1*222+1*119,341,341,310,300,330,330,,,,
01/09/2021 ,Bibiyana-III     400 MW CCPP,Gas,PDB,400 MW,400,400,0,0,0,0,,400,Gas shortage,
01/09/2021 ,Sylhet 10MW PP (Desh)  ,Gas,RPP ,6*1.95,10,10,9,9,9,9,,,,
01/09/2021 ,Bibiyana South 400 MW,Gas,PDB,400 MW,0,0,130,130,400,400,,,On test,
01/09/2021 ,Bheramara GTPP Unit-3,HSD,PDB,1*20,20,16,0,0,0,16,,,,
01/09/2021 ,Bheramara (HVDC ),0,Imported power,2*500,1000,1000,470,707,678,822,,,,
01/09/2021 ,Khulna 115 PP MW (KPCL-2),HFO,QRPP,7*17,115,115,115,115,115,115,,,,
01/09/2021 ,Faridpur 50 MW Peaking PP,HFO,PDB,8*6.89,54,54,0,4,35,35,,19,Engine problem,
01/09/2021 ,Khulna  225 MW CCPP,HSD,NWPGCL,1*150+1*75,230,230,0,0,0,220,,,,
01/09/2021 ,Gopalganj 100 MW Peaking PP,HFO,PDB,16*6.98,109,109,0,0,70,70,,39,Engine problem,
01/09/2021 ,Bheramara 410 MW CCPP,Gas,NWPGCL,1*278+1*132,410,410,275,260,300,325,85,,Gas shortage,
01/09/2021 ,Noapara 40 MW PP (Khanjahan Ali),HFO,QRPP,5*8.5,40,40,0,0,40,40,,,,
01/09/2021 , Noapara 100 MW PP (Bangla Trac),HSD,IPP,70*1.4,100,100,0,0,50,100,,,,
01/09/2021 ,Rupsha 105 MW PP (Orion rupsha),HFO,IPP,6*18.445,105,105,17,35,105,105,,,,
01/09/2021 ,Madhumati 100 MW PP,HFO,SWPGCL,100 MW,105,105,0,0,100,100,,,,
01/09/2021 ,Barisal 110 MW PP (Summit ),HFO,IPP,7*17.076,110,110,0,0,110,110,,,,
01/09/2021 ,Bhola  33 MW PP (Venture),Gas,RPP,1*34.50,33,33,20,26,24,26,,7,Engine problem,
01/09/2021 ,Bhola 225 MW  CCPP,Gas,PDB,2*63+1*68,194,194,0,0,0,0,,194,Under maintenance,
01/09/2021 ,Bhola 95 MW PP (Aggreko),Gas,QRPP,96*1.10,95,95,30,60,60,61,34,,Gas shortage,
01/09/2021 ,Payra 1320 MW,Coal,BCPCL,2*622,1244,1244,360,420,600,600,,,,
01/09/2021 ,Bhola Nutan Biddut BD LTD,Gas,IPP,220,0,0,28,55,50,56,,,,
01/09/2021 ,United Payra Power Ltd.,HFO,IPP,8*18.5+1*9.5,0,0,35,55,54,54,,,,
01/09/2021 ,Baghabari 71 MW GTPP,Gas,PDB,1*71,71,71,0,0,0,0,71,,Gas shortage,
01/09/2021 ,Baghabari  100 MW GTPP,Gas,PDB,1*100,100,100,0,0,0,0,100,,Gas shortage,
01/09/2021 ,Baghabari  50 MW Peaking PP,HFO,PDB,6*8.9,52,52,0,0,0,50,,,,
01/09/2021 ,Bera 70 MW Peaking PP,HFO,PDB,9*8.29,71,71,0,0,0,40,,,,
01/09/2021 ,Amnura 50 MW PP(Sinha),HFO,QRPP,7*7.79,50,50,0,0,35,35,,15,Engine problem,
01/09/2021 ,Katakhali 50 MW PP (Northern),HFO,QRPP,6*8.9,50,50,0,0,50,50,,,,
01/09/2021 ,Katakhali 50 MW Peaking PP,HFO,PDB,6*8.7,50,50,0,0,50,50,,,,
01/09/2021 ,Sirajgonj 225MW CCPP Unit-1,Gas/HSD,NWPGCL,1*150+1*75,210,210,0,0,0,0,210,,Gas shortage,
01/09/2021 ,Sirajgonj 225MW CCPP Unit-2,Gas/HSD,NWPGCL,1*150+1*75,220,220,0,0,0,0,220,,Gas shortage,
01/09/2021 ,Sirajgonj 225MW CCPP Unit-3,Gas/HSD,NWPGCL,1*141,220,220,140,180,220,220,,,,
01/09/2021 ,Sirajgonj 400 MW CCPP Unit-4,Gas/HSD,SNWPGCL,1*282+1*132,414,414,407,317,400,400,,,FGMO,
01/09/2021 ,Santahar  50 MW Peaking PP,HFO,PDB,6*8.7,50,50,0,0,0,34,,,,
01/09/2021 ,Bogra 22 MW PP (GBB),Gas,RPP ,6*4,22,22,22,20,22,22,,,,
01/09/2021 ,Bogura 20 MW PP (Energyprima),Gas,RPP ,5*3.3+5*2,20,10,0,0,0,0,,,Contract Expired,
01/09/2021 ,Ullapara 11 MW PP  (Summit),Gas,"SIPP, REB",4*2.90,11,11,11,11,11,11,,,,
01/09/2021 ,Natore 52 MW PP (Rajlanka) ,HFO,IPP,52,52,52,0,0,52,52,,,,
01/09/2021 ,Chapainawabganj 100 MW Peaking PP,HFO,PDB,104,104,104,0,69,94,94,,,,
01/09/2021 ,Baghabari 200 MW PP (Paramount),HSD,IPP,200 MW,200,200,0,0,200,200,,,,
01/09/2021 ,Bagura 113 MW PP (Confidence)-2,HFO,IPP,113 MW,113,113,113,113,113,113,,,,
01/09/2021 ,Confidence Power Bogura Unit-1 113 MW,HFO,IPP,6*18.55,113,113,35,113,113,113,,,,
01/09/2021 ,Barapukuria TPP Unit-1 ,Coal,PDB,1*125,125,85,0,0,0,0,,85,Under maint.,
01/09/2021 ,Barapukuria TPP  Unit-2,Coal,PDB,1*125,125,85,0,0,0,0,,85,Under maint.,
01/09/2021 ,Barapukuria 275 MW TPP Unit-3,Coal,PDB,1*275,274,274,150,150,150,150,124,,Coal Shortage,
01/09/2021 ,Rangpur 20 MW  GTPP,HSD,PDB,1*20,20,20,0,0,0,0,,20,Under maint.,
01/09/2021 ,Saidpur 20 MW GTPP,HSD,PDB,1*20,20,20,0,0,0,0,,20,Engine problem,
01/09/2021 ,Rangpur 113 MW PP (Confidence)  ,HFO,IPP,113 MW,113,113,0,113,113,113,,,,
01/09/2021 ,Sympa Solar Power 8MW,Solar,IPP,8 MW,8,8,3,0,8,0,,,,
